Proyecto,Fecha,Humedad(%),Presion(hPa),Temp(C),Lat,Lon,Alt(m)
Nan/4/2026,96,1012.23,24.73,41.357578,2.033403,27.16
NanoSkyLab,22/4/2026,96,1012.23,24.72,41.357574,2.033401,27.18
NanoSkyLab,22/4/2026,96,1012.23,24.73,41.357578,2.033403,27.16
NanoSkyLab,22/4/2026,96,1012.23,24.72,41.357574,2.033401,27.18
NanoSkyLab,22/4/2026,77,1012.23,24.72,41.357551,2.033390,27.22
NanoSkyLab,22/4/2026,81,1012.23,24.72,41.357547,2.033390,27.22
NanoSkyLab,22/4/2026,84,1012.22,24.72,41.357547,2.033396,27.25
NanoSkyLab,22/4/2026,86,1012.22,24.72,41.357570,2.033403,27.25
NanoSkyLab,22/4/2026,87,1012.23,24.72,41.357582,2.033411,27.24
NanoSkyLab,22/4/2026,89,1012.22,24.71,41.357593,2.033419,27.27
NanoSkyLab,22/4/2026,90,1012.22,24.71,41.357589,2.033419,27.28
NanoSkyLab,22/4/2026,91,1012.22,24.71,41.357593,2.033421,27.28
NanoSkyLab,22/4/2026,92,1012.22,24.71,41.357589,2.033425,27.28
NanoSkyLab,22/4/2026,93,1012.22,24.71,41.357624,2.033447,27.30
NanoSkyLab,22/4/2026,93,1012.22,24.71,41.357654,2.033479,27.31
NanoSkyLab,22/4/2026,94,1012.22,24.71,41.357688,2.033505,27.31
NanoSkyLab,22/4/2026,94,1012.21,24.71,41.357692,2.033515,27.36
