Mision,Fecha,Humedad(%),Presion(hPa),Temperatura(C),Latitud,Longitud,Altitud(m)
Nan,41.357467,2.033299,9.36
NanoSkyLab,22/4/2026,100,1012.12,25.00,41.357471,2.033298,9.38
NanoSkyLab,22/4/2026,100,1012.13,25.00,41.357467,2.033299,9.36
NanoSkyLab,22/4/2026,100,1012.12,25.00,41.357471,2.033298,9.38
NanoSkyLab,22/04/2026,81,1012.12,25.00,0.0,0.0,9.40
NanoSkyLab,22/4/2026,85,1012.12,24.99,41.357486,2.033300,9.41
NanoSkyLab,22/4/2026,89,1012.12,24.99,41.357490,2.033300,9.41
NanoSkyLab,22/4/2026,92,1012.12,24.99,41.357501,2.033302,9.40
NanoSkyLab,22/4/2026,94,1012.13,24.98,41.357509,2.033303,9.36
NanoSkyLab,22/4/2026,96,1012.12,24.98,41.357513,2.033303,9.40
NanoSkyLab,22/4/2026,97,1012.12,24.98,41.357524,2.033304,9.39
NanoSkyLab,22/4/2026,98,1012.12,24.98,41.357532,2.033304,9.38
NanoSkyLab,22/4/2026,99,1012.13,24.97,41.357547,2.033307,9.36
NanoSkyLab,22/4/2026,100,1012.12,24.97,41.357555,2.033307,9.41
NanoSkyLab,22/4/2026,100,1012.12,24.96,41.357555,2.033307,9.40
NanoSkyLab,22/4/2026,100,1012.12,24.96,41.357551,2.033304,9.39
NanoSkyLab,22/4/2026,100,1012.12,24.96,41.357555,2.033304,9.40
NanoSkyLab,22/4/2026,100,1012.12,24.95,41.357559,2.033304,9.41
NanoSkyLab,22/4/2026,100,1012.12,24.95,41.357570,2.033306,9.40
NanoSkyLab,22/4/2026,100,1012.12,24.94,41.357578,2.033307,9.39
NanoSkyLab,22/4/2026,100,1012.12,24.94,41.357582,2.033309,9.39
NanoSkyLab,22/4/2026,100,1012.13,24.94,41.357597,2.033312,9.37
NanoSkyLab,22/4/2026,100,1012.13,24.93,41.357604,2.033314,9.35
NanoSkyLab,22/4/2026,100,1012.13,24.93,41.357608,2.033312,9.36
NanoSkyLab,22/4/2026,100,1012.13,24.93,41.357604,2.033312,9.35
NanoSkyLab,22/4/2026,100,1012.13,24.92,41.357612,2.033314,9.36
NanoSkyLab,22/4/2026,100,1012.13,24.92,41.357620,2.033316,9.35
NanoSkyLab,22/4/2026,100,1012.13,24.92,41.357601,2.033312,9.36
NanoSkyLab,22/4/2026,100,1012.12,24.91,41.357601,2.033314,9.38
NanoSkyLab,22/4/2026,100,1012.13,24.91,41.357604,2.033319,9.35
NanoSkyLab,22/4/2026,100,1012.12,24.90,41.357612,2.033315,9.39
NanoSkyLab,22/4/2026,100,1012.13,24.90,41.357612,2.033313,9.37
NanoSkyLab,22/4/2026,100,1012.12,24.90,41.357604,2.033309,9.39
NanoSkyLab,22/4/2026,100,1012.12,24.89,41.357608,2.033307,9.40
NanoSkyLab,22/4/2026,100,1012.12,24.89,41.357624,2.033310,9.40
NanoSkyLab,22/4/2026,100,1012.12,24.89,41.357635,2.033312,9.40
NanoSkyLab,22/4/2026,100,1012.12,24.88,41.357631,2.033311,9.44
NanoSkyLab,22/4/2026,100,1012.12,24.88,41.357627,2.033308,9.42
NanoSkyLab,22/4/2026,100,1012.12,24.88,41.357631,2.033306,9.43
NanoSkyLab,22/4/2026,100,1012.12,24.87,41.357635,2.033303,9.42
NanoSkyLab,22/4/2026,100,1012.12,24.87,41.357635,2.033298,9.44
NanoSkyLab,22/4/2026,100,1012.12,24.87,41.357639,2.033291,9.40
NanoSkyLab,22/4/2026,100,1012.13,24.86,41.357643,2.033291,9.37
NanoSkyLab,22/4/2026,100,1012.12,24.86,41.357639,2.033286,9.38
NanoSkyLab,22/4/2026,100,1012.12,24.85,41.357643,2.033287,9.39
NanoSkyLab,22/4/2026,100,1012.13,24.85,41.357635,2.033276,9.36
NanoSkyLab,22/4/2026,100,1012.13,24.85,41.357631,2.033271,9.37
NanoSkyLab,22/4/2026,100,1012.12,24.84,41.357624,2.033269,9.41
NanoSkyLab,22/4/2026,100,1012.12,24.84,41.357624,2.033268,9.42
NanoSkyLab,22/4/2026,100,1012.12,24.84,41.357627,2.033265,9.41
NanoSkyLab,22/4/2026,100,1012.12,24.84,41.357624,2.033259,9.45
NanoSkyLab,22/4/2026,100,1012.12,24.83,41.357612,2.033255,9.44
NanoSkyLab,22/4/2026,100,1012.12,24.83,41.357612,2.033251,9.42
NanoSkyLab,22/4/2026,100,1012.12,24.82,41.357612,2.033248,9.42
NanoSkyLab,22/4/2026,100,1012.12,24.82,41.357604,2.033249,9.41
NanoSkyLab,22/4/2026,100,1012.12,24.82,41.357601,2.033247,9.39
NanoSkyLab,22/4/2026,100,1012.13,24.81,41.357597,2.033248,9.37
NanoSkyLab,22/4/2026,100,1012.13,24.81,41.357597,2.033251,9.33
NanoSkyLab,22/4/2026,100,1012.13,24.81,41.357597,2.033252,9.34
NanoSkyLab,22/4/2026,100,1012.13,24.80,41.357589,2.033251,9.34
NanoSkyLab,22/4/2026,100,1012.13,24.80,41.357589,2.033251,9.33
NanoSkyLab,22/4/2026,100,1012.13,24.80,41.357593,2.033252,9.32
NanoSkyLab,22/4/2026,100,1012.13,24.79,41.357589,2.033252,9.33
NanoSkyLab,22/4/2026,100,1012.13,24.79,41.357597,2.033252,9.34
NanoSkyLab,22/4/2026,100,1012.13,24.79,41.357604,2.033252,9.33
NanoSkyLab,22/4/2026,100,1012.13,24.79,41.357612,2.033252,9.30
NanoSkyLab,22/4/2026,100,1012.13,24.78,41.357620,2.033252,9.34
NanoSkyLab,22/4/2026,100,1012.13,24.78,41.357616,2.033252,9.31
NanoSkyLab,22/4/2026,100,1012.14,24.78,41.357616,2.033251,9.27
NanoSkyLab,22/4/2026,100,1012.14,24.78,41.357593,2.033244,9.28
NanoSkyLab,22/4/2026,100,1012.14,24.78,41.357589,2.033243,9.25
NanoSkyLab,22/4/2026,100,1012.14,24.77,41.357589,2.033241,9.24
NanoSkyLab,22/4/2026,100,1012.14,24.77,41.357593,2.033241,9.25
NanoSkyLab,22/4/2026,100,1012.14,24.77,41.357585,2.033244,9.25
NanoSkyLab,22/4/2026,100,1012.14,24.77,41.357589,2.033247,9.27
NanoSkyLab,22/4/2026,100,1012.13,24.76,41.357593,2.033249,9.29
NanoSkyLab,22/4/2026,100,1012.13,24.76,41.357585,2.033246,9.32
NanoSkyLab,22/4/2026,100,1012.13,24.76,41.357578,2.033245,9.36
NanoSkyLab,22/4/2026,100,1012.13,24.76,41.357563,2.033243,9.36
NanoSkyLab,22/4/2026,100,1012.12,24.75,41.357566,2.033244,9.41
NanoSkyLab,22/4/2026,100,1012.12,24.75,41.357570,2.033244,9.40
NanoSkyLab,22/4/2026,100,1012.13,24.75,41.357570,2.033243,9.36
NanoSkyLab,22/4/2026,100,1012.13,24.75,41.357570,2.033241,9.37
NanoSkyLab,22/4/2026,100,1012.13,24.74,41.357582,2.033241,9.37
NanoSkyLab,22/4/2026,100,1012.13,24.74,41.357593,2.033244,9.36
NanoSkyLab,22/4/2026,100,1012.13,24.74,41.357593,2.033244,9.35
NanoSkyLab,22/4/2026,100,1012.13,24.74,41.357604,2.033241,9.37
NanoSkyLab,22/4/2026,100,1012.12,24.73,41.357612,2.033243,9.39
NanoSkyLab,22/4/2026,100,1012.12,24.73,41.357608,2.033242,9.38
NanoSkyLab,22/4/2026,100,1012.12,24.73,41.357604,2.033236,9.40
NanoSkyLab,22/4/2026,100,1012.12,24.72,41.357601,2.033230,9.40
NanoSkyLab,22/4/2026,100,1012.12,24.72,41.357612,2.033236,9.39
NanoSkyLab,22/4/2026,100,1012.13,24.72,41.357612,2.033237,9.36
NanoSkyLab,22/4/2026,100,1012.13,24.72,41.357601,2.033234,9.31
NanoSkyLab,22/4/2026,100,1012.14,24.72,41.357597,2.033234,9.28
NanoSkyLab,22/4/2026,100,1012.13,24.71,41.357570,2.033229,9.29
NanoSkyLab,22/4/2026,100,1012.14,24.71,41.357574,2.033230,9.26
NanoSkyLab,22/4/2026,100,1012.14,24.71,41.357578,2.033231,9.26
NanoSkyLab,22/4/2026,100,1012.14,24.70,41.357582,2.033234,9.28
NanoSkyLab,22/4/2026,100,1012.14,24.70,41.357582,2.033236,9.28
NanoSkyLab,22/4/2026,100,1012.14,24.70,41.357578,2.033238,9.28
NanoSkyLab,22/4/2026,100,1012.14,24.69,41.357582,2.033240,9.28
NanoSkyLab,22/4/2026,100,1012.14,24.69,41.357578,2.033242,9.27
NanoSkyLab,22/4/2026,100,1012.14,24.69,41.357578,2.033244,9.26
NanoSkyLab,22/4/2026,100,1012.14,24.69,41.357574,2.033245,9.25
NanoSkyLab,22/4/2026,100,1012.14,24.68,41.357574,2.033246,9.25
NanoSkyLab,22/4/2026,100,1012.14,24.68,41.357578,2.033248,9.22
NanoSkyLab,22/4/2026,100,1012.14,24.68,41.357578,2.033249,9.21
NanoSkyLab,22/4/2026,100,1012.15,24.68,41.357582,2.033251,9.19
NanoSkyLab,22/4/2026,100,1012.15,24.67,41.357585,2.033253,9.17
NanoSkyLab,22/4/2026,100,1012.15,24.67,41.357589,2.033255,9.15
NanoSkyLab,22/4/2026,100,1012.15,24.67,41.357589,2.033257,9.16
NanoSkyLab,22/4/2026,100,1012.15,24.66,41.357589,2.033261,9.16
NanoSkyLab,22/4/2026,100,1012.16,24.66,41.357589,2.033263,9.07
