Proyecto,Fecha,Humedad,Presion,Temp,Lat,Lon,Alt
Nan319,27.15
NanoSkyLab,22/4/2026,92,1012.23,24.77,41.357589,2.033319,27.18
NanoSkyLab,22/4/2026,92,1012.24,24.77,41.357582,2.033319,27.15
NanoSkyLab,22/4/2026,92,1012.23,24.77,41.357589,2.033319,27.18
NanoSkyLab,22/4/2026,73,1012.17,24.78,0.0,0.0,27.73
NanoSkyLab,22/4/2026,84,1012.18,24.78,0.0,0.0,27.60
NanoSkyLab,22/4/2026,88,1012.19,24.78,0.0,0.0,27.53
NanoSkyLab,22/4/2026,90,1012.19,24.78,0.0,0.0,27.50
NanoSkyLab,22/4/2026,91,1012.20,24.78,41.357593,2.033312,27.47
NanoSkyLab,22/4/2026,91,1012.20,24.78,41.357589,2.033312,27.45
NanoSkyLab,22/4/2026,91,1012.21,24.78,41.357597,2.033313,27.41
NanoSkyLab,22/4/2026,92,1012.21,24.78,41.357604,2.033314,27.36
NanoSkyLab,22/4/2026,91,1012.21,24.78,41.357589,2.033307,27.35
NanoSkyLab,22/4/2026,92,1012.21,24.78,41.357574,2.033301,27.33
NanoSkyLab,22/4/2026,91,1012.22,24.78,41.357589,2.033303,27.32
NanoSkyLab,22/4/2026,92,1012.22,24.78,41.357578,2.033298,27.31
NanoSkyLab,22/4/2026,92,1012.22,24.78,41.357555,2.033290,27.31
NanoSkyLab,22/4/2026,91,1012.22,24.78,41.357547,2.033284,27.32
NanoSkyLab,22/4/2026,92,1012.22,24.78,41.357547,2.033282,27.31
NanoSkyLab,22/4/2026,92,1012.22,24.78,41.357559,2.033284,27.26
