Mision,Fecha,Humedad,Presion,Temp,Lat,Lon,Alt
N/2026,74,1012.17,24.68,41.356811,2.033187,27.67
NanoSkyLab,22/4/2026,75,1012.17,24.68,41.356788,2.033184,27.68
NanoSkyLab,22/4/2026,74,1012.17,24.68,41.356811,2.033187,27.67
NanoSkyLab,22/4/2026,75,1012.17,24.68,41.356788,2.033184,27.68
NanoSkyLab,22/4/2026,60,1012.17,24.67,41.356716,2.033168,27.74
NanoSkyLab,22/4/2026,67,1012.17,24.67,41.356689,2.033166,27.71
NanoSkyLab,22/4/2026,70,1012.17,24.66,41.356658,2.033161,27.70
NanoSkyLab,22/4/2026,72,1012.17,24.66,41.356632,2.033161,27.71
NanoSkyLab,22/4/2026,73,1012.17,24.65,41.356651,2.033160,27.70
NanoSkyLab,22/4/2026,74,1012.17,24.65,41.356651,2.033160,27.66
NanoSkyLab,22/4/2026,74,1012.17,24.65,41.356651,2.033160,27.67
NanoSkyLab,22/4/2026,75,1012.18,24.65,41.356651,2.033161,27.66
NanoSkyLab,22/4/2026,75,1012.18,24.65,41.356655,2.033164,27.65
NanoSkyLab,22/4/2026,75,1012.18,24.64,41.356658,2.033167,27.65
NanoSkyLab,22/4/2026,75,1012.18,24.64,41.356674,2.033172,27.66
NanoSkyLab,22/4/2026,74,1012.17,24.64,41.356678,2.033173,27.66
NanoSkyLab,22/4/2026,75,1012.17,24.64,41.356681,2.033174,27.68
NanoSkyLab,22/4/2026,74,1012.17,24.63,41.356693,2.033179,27.70
NanoSkyLab,22/4/2026,75,1012.17,24.63,41.356697,2.033179,27.72
NanoSkyLab,22/4/2026,74,1012.17,24.63,41.356704,2.033180,27.72
NanoSkyLab,22/4/2026,75,1012.17,24.63,41.356712,2.033186,27.73
NanoSkyLab,22/4/2026,74,1012.16,24.62,41.356727,2.033190,27.75
NanoSkyLab,22/4/2026,75,1012.16,24.62,41.356727,2.033189,27.75
NanoSkyLab,22/4/2026,75,1012.16,24.62,41.356742,2.033192,27.76
NanoSkyLab,22/4/2026,75,1012.16,24.62,41.356777,2.033204,27.75
NanoSkyLab,22/4/2026,75,1012.17,24.61,41.356788,2.033208,27.74
NanoSkyLab,22/4/2026,75,1012.17,24.61,41.356807,2.033215,27.73
NanoSkyLab,22/4/2026,75,1012.17,24.61,41.356800,2.033213,27.72
NanoSkyLab,22/4/2026,75,1012.16,24.61,41.356815,2.033214,27.75
NanoSkyLab,22/4/2026,75,1012.16,24.61,41.356822,2.033215,27.75
NanoSkyLab,22/4/2026,75,1012.17,24.61,41.356822,2.033215,27.74
NanoSkyLab,22/4/2026,75,1012.16,24.60,41.356826,2.033217,27.74
NanoSkyLab,22/4/2026,75,1012.16,24.60,41.356834,2.033215,27.75
NanoSkyLab,22/4/2026,75,1012.17,24.60,41.356838,2.033215,27.72
NanoSkyLab,22/4/2026,75,1012.17,24.60,41.356845,2.033213,27.69
NanoSkyLab,22/4/2026,75,1012.17,24.60,41.356861,2.033214,27.71
NanoSkyLab,22/4/2026,75,1012.17,24.60,41.356899,2.033226,27.69
NanoSkyLab,22/4/2026,75,1012.17,24.60,41.356891,2.033222,27.73
NanoSkyLab,22/4/2026,75,1012.17,24.60,41.356800,2.033201,27.71
NanoSkyLab,22/4/2026,75,1012.16,24.59,41.356693,2.033170,27.75
NanoSkyLab,22/4/2026,75,1012.16,24.59,41.356597,2.033143,27.75
NanoSkyLab,22/4/2026,75,1012.16,24.59,41.356525,2.033122,27.75
NanoSkyLab,22/4/2026,75,1012.16,24.59,41.356472,2.033107,27.79
NanoSkyLab,22/4/2026,75,1012.16,24.59,41.356399,2.033087,27.76
NanoSkyLab,22/4/2026,75,1012.16,24.59,41.356346,2.033076,27.79
NanoSkyLab,22/4/2026,75,1012.16,24.59,41.356266,2.033051,27.80
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.356189,2.033029,27.83
NanoSkyLab,22/4/2026,75,1012.15,24.58,41.356197,2.033029,27.88
NanoSkyLab,22/4/2026,75,1012.15,24.58,41.356189,2.033024,27.87
NanoSkyLab,22/4/2026,75,1012.15,24.58,41.356174,2.033016,27.88
NanoSkyLab,22/4/2026,75,1012.15,24.58,41.356159,2.033007,27.88
NanoSkyLab,22/4/2026,75,1012.15,24.58,41.356147,2.033002,27.89
NanoSkyLab,22/4/2026,75,1012.14,24.58,41.356212,2.033019,27.92
NanoSkyLab,22/4/2026,75,1012.14,24.58,41.356250,2.033026,27.92
NanoSkyLab,22/4/2026,75,1012.15,24.58,41.356338,2.033050,27.91
NanoSkyLab,22/4/2026,75,1012.15,24.58,41.356384,2.033059,27.91
NanoSkyLab,22/4/2026,75,1012.14,24.58,41.356403,2.033062,27.91
NanoSkyLab,22/4/2026,75,1012.14,24.58,41.356422,2.033061,27.92
NanoSkyLab,22/4/2026,75,1012.14,24.58,41.356441,2.033066,27.94
NanoSkyLab,22/4/2026,75,1012.14,24.58,41.356483,2.033077,27.94
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.356536,2.033091,27.90
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.356636,2.033115,27.90
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.356674,2.033126,27.92
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.356731,2.033139,27.90
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.356796,2.033158,27.90
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.356861,2.033176,27.90
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.356906,2.033189,27.90
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.356929,2.033196,27.88
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.356964,2.033203,27.88
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.357002,2.033211,27.87
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.357006,2.033210,27.91
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357025,2.033212,27.92
NanoSkyLab,22/4/2026,75,1012.15,24.59,41.357028,2.033210,27.90
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357051,2.033216,27.92
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357055,2.033217,27.92
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357074,2.033216,27.94
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357074,2.033217,27.96
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357059,2.033211,27.96
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357063,2.033206,27.96
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357051,2.033204,27.97
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357070,2.033210,27.97
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357063,2.033206,27.97
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357086,2.033208,27.99
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357109,2.033214,27.99
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357112,2.033216,27.97
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357128,2.033220,27.94
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357131,2.033221,27.93
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357143,2.033220,27.93
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357143,2.033220,27.94
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357143,2.033220,27.96
NanoSkyLab,22/4/2026,75,1012.13,24.59,41.357349,2.033289,28.00
NanoSkyLab,22/4/2026,75,1012.14,24.59,41.357379,2.033303,27.97
NanoSkyLab,22/4/2026,75,1012.13,24.59,41.357406,2.033316,28.02
NanoSkyLab,22/4/2026,75,1012.13,24.59,41.357421,2.033320,28.01
NanoSkyLab,22/4/2026,75,1012.13,24.59,41.357566,2.033356,28.03
NanoSkyLab,22/4/2026,75,1012.13,24.59,41.357601,2.033360,28.02
NanoSkyLab,22/4/2026,75,1012.13,24.59,41.357730,2.033391,28.02
NanoSkyLab,22/4/2026,75,1012.13,24.59,41.357746,2.033390,28.01
