Mision,Fecha,Humedad,Presion,Temp,Lat,Lon,Alt
Nan1.357418,2.033188,27.83
NanoSkyLab,22/4/2026,88,1012.15,24.83,41.357410,2.033188,27.86
NanoSkyLab,22/4/2026,88,1012.15,24.83,41.357418,2.033188,27.83
NanoSkyLab,22/4/2026,88,1012.15,24.83,41.357410,2.033188,27.86
NanoSkyLab,22/4/2026,71,1012.15,24.83,41.357387,2.033204,27.83
NanoSkyLab,22/4/2026,77,1012.15,24.83,41.357391,2.033207,27.83
NanoSkyLab,22/4/2026,81,1012.15,24.83,41.357398,2.033213,27.83
NanoSkyLab,22/4/2026,83,1012.16,24.84,41.357418,2.033220,27.80
NanoSkyLab,22/4/2026,85,1012.16,24.84,41.357425,2.033222,27.81
NanoSkyLab,22/4/2026,86,1012.15,24.84,41.357437,2.033226,27.83
NanoSkyLab,22/4/2026,86,1012.16,24.84,41.357460,2.033230,27.81
NanoSkyLab,22/4/2026,87,1012.16,24.84,41.357467,2.033230,27.81
NanoSkyLab,22/4/2026,87,1012.16,24.84,41.357429,2.033228,27.81
NanoSkyLab,22/4/2026,88,1012.16,24.84,41.357387,2.033223,27.79
NanoSkyLab,22/4/2026,88,1012.16,24.84,41.357357,2.033220,27.81
NanoSkyLab,22/4/2026,88,1012.16,24.84,41.357330,2.033218,27.80
NanoSkyLab,22/4/2026,88,1012.16,24.84,41.357303,2.033215,27.80
NanoSkyLab,22/4/2026,88,1012.16,24.84,41.357280,2.033211,27.79
