Mision,Fecha,Humedad,Presion,Temp,Lat,Lon,Alt
Na026,89,1012.17,24.85,41.357334,2.033241,27.73
NanoSkyLab,22/4/2026,89,1012.16,24.85,41.357337,2.033238,27.74
NanoSkyLab,22/4/2026,71,1012.13,24.85,41.357353,2.033245,28.05
NanoSkyLab,22/4/2026,78,1012.14,24.85,41.357349,2.033248,27.96
NanoSkyLab,22/4/2026,82,1012.15,24.85,41.357360,2.033266,27.91
NanoSkyLab,22/4/2026,84,1012.14,24.85,41.357360,2.033268,27.91
NanoSkyLab,22/4/2026,86,1012.14,24.85,41.357364,2.033278,27.93
NanoSkyLab,22/4/2026,87,1012.15,24.85,41.357364,2.033288,27.90
NanoSkyLab,22/4/2026,87,1012.15,24.85,41.357368,2.033296,27.85
NanoSkyLab,22/4/2026,88,1012.15,24.85,41.357372,2.033308,27.87
NanoSkyLab,22/4/2026,88,1012.15,24.85,41.357368,2.033313,27.88
NanoSkyLab,22/4/2026,88,1012.15,24.85,41.357364,2.033315,27.87
NanoSkyLab,22/4/2026,88,1012.15,24.85,41.357368,2.033315,27.87
NanoSkyLab,22/4/2026,89,1012.16,24.85,41.357357,2.033302,27.81
NanoSkyLab,22/4/2026,88,1012.16,24.85,41.357345,2.033279,27.79
NanoSkyLab,22/4/2026,88,1012.16,24.85,41.357315,2.033232,27.74
NanoSkyLab,22/4/2026,89,1012.17,24.85,41.357307,2.033213,27.71
